Flow cell,Illumina lane,Lib,BCNumber,BC,Lib_BC,individual,slide ID,Testis Sample,,Testis slide ID,,Ind-Slide-sample,seqsample
FC2,WTCHG_107218,9,6,BC6,Lib 9_6,14,D,17a,,Testis 14D,D17a,14D17a,WTCHG_107218_06
FC2,WTCHG_107218,9,7,BC7,Lib 9_7,14,D,17b,,Testis 14D,D17b,14D17b,WTCHG_107218_07
FC2,WTCHG_107218,9,8,BC8,Lib 9_8,14,D,18,,Testis 14D,D18,14D18,WTCHG_107218_08
FC2,WTCHG_107218,9,9,BC9,Lib 9_9,14,D,19,,Testis 14D,D19,14D19,WTCHG_107218_09
FC2,WTCHG_107218,9,10,BC10,Lib 9_10,14,D,20,,Testis 14D,D20,14D20,WTCHG_107218_10
FC2,WTCHG_107218,9,11,BC11,Lib 9_11,14,D,21,,Testis 14D,D21,14D21,WTCHG_107218_11
FC2,WTCHG_107218,9,12,BC12,Lib 9_12,14,D,22,,Testis 14D,D22,14D22,WTCHG_107218_12
FC2,WTCHG_107218,9,13,BC13,Lib 9_13,14,D,23,,Testis 14D,D23,14D23,WTCHG_107218_13
FC2,WTCHG_107218,9,14,BC14,Lib 9_14,14,D,24,,Testis 14D,D24,14D24,WTCHG_107218_14
FC2,WTCHG_107218,9,15,BC15,Lib 9_15,14,D,25,,Testis 14D,D25,14D25,WTCHG_107218_15
FC2,WTCHG_107218,9,16,BC16,Lib 9_16,14,D,26,,Testis 14D,D26,14D26,WTCHG_107218_16
FC2,WTCHG_107218,9,17,BC17,Lib 9_17,14,D,27,,Testis 14D,D27,14D27,WTCHG_107218_17
FC2,WTCHG_107218,9,18,BC18,Lib 9_18,14,D,28,,Testis 14D,D28,14D28,WTCHG_107218_18
FC2,WTCHG_107219,10,1,BC1,Lib 10_1,14,D,29,,Testis 14D,D29,14D29,WTCHG_107219_01
FC2,WTCHG_107219,10,2,BC2,Lib 10_2,14,D,30,,Testis 14D,D30,14D30,WTCHG_107219_02
FC2,WTCHG_107219,10,3,BC3,Lib 10_3,10,F,1,,Testis 10F,F1,10F1,WTCHG_107219_03
FC2,WTCHG_107219,10,4,BC4,Lib 10_4,10,F,2,,Testis 10F,F2,10F2,WTCHG_107219_04
FC2,WTCHG_107219,10,5,BC5,Lib 10_5,10,F,3,,Testis 10F,F3,10F3,WTCHG_107219_05
